track,quarter_region,activity,available_quarters,year,selected_route_id,selected_basis,baseline_predicted_eok,selected_predicted_eok,official_annual_eok,baseline_error_eok,selected_error_eok,baseline_abs_error_eok,selected_abs_error_eok,baseline_ape_pct,selected_ape_pct,target_candidate_ape_pct_if_adopted
recursive_no_target_actual,대구,교육 서비스업,1,2024,baseline,no_prior_positive_route,47503.08442307866,47503.08442307866,47101.24,401.84442307866266,401.84442307866266,401.84442307866266,401.84442307866266,0.8531504119183755,0.8531504119183755,
recursive_no_target_actual,대구,교육 서비스업,1,2025,baseline,no_prior_positive_route,47125.68834849902,47125.68834849902,46989.54,136.14834849901672,136.14834849901672,136.14834849901672,136.14834849901672,0.2897418201987436,0.28974182019874367,
recursive_no_target_actual,대구,교육 서비스업,2,2021,baseline,no_prior_positive_route,44031.19967518264,44031.19967518264,44774.55,-743.3503248173656,-743.3503248173656,743.3503248173656,743.3503248173656,1.6602072490228614,1.6602072490228614,
recursive_no_target_actual,대구,교육 서비스업,2,2022,baseline,no_prior_positive_route,46810.40721589512,46810.40721589512,46314.15,496.2572158951152,496.2572158951152,496.2572158951152,496.2572158951152,1.0715023721586496,1.0715023721586496,
recursive_no_target_actual,대구,교육 서비스업,2,2023,baseline,no_prior_positive_route,47119.038522315226,47119.038522315226,46902.9,216.1385223152247,216.1385223152247,216.1385223152247,216.1385223152247,0.4608212334743153,0.46082123347431536,
recursive_no_target_actual,대구,교육 서비스업,2,2024,baseline,no_prior_positive_route,47523.05335710714,47523.05335710714,47101.24,421.8133571071448,421.8133571071448,421.8133571071448,421.8133571071448,0.8955461833003651,0.8955461833003648,
recursive_no_target_actual,대구,교육 서비스업,2,2025,baseline,no_prior_positive_route,47039.18672756946,47039.18672756946,46989.54,49.64672756945947,49.64672756945947,49.64672756945947,49.64672756945947,0.1056548490780277,0.10565484907802773,
recursive_no_target_actual,대구,교육 서비스업,3,2021,baseline,no_prior_positive_route,44396.82516433857,44396.82516433857,44774.55,-377.7248356614364,-377.7248356614364,377.7248356614364,377.7248356614364,0.8436150350175186,0.8436150350175186,
recursive_no_target_actual,대구,교육 서비스업,3,2022,baseline,no_prior_positive_route,46624.956769100485,46624.956769100485,46314.15,310.8067691004835,310.8067691004835,310.8067691004835,310.8067691004835,0.6710838244909677,0.6710838244909677,
recursive_no_target_actual,대구,교육 서비스업,3,2023,baseline,no_prior_positive_route,47007.633388032074,47007.633388032074,46902.9,104.73338803207298,104.73338803207298,104.73338803207298,104.73338803207298,0.2232983206413099,0.22329832064130997,
recursive_no_target_actual,대구,교육 서비스업,3,2024,baseline,no_prior_positive_route,47439.66664782283,47439.66664782283,47101.24,338.4266478228383,338.4266478228383,338.4266478228383,338.4266478228383,0.7185089985376993,0.7185089985376993,
recursive_no_target_actual,대구,교육 서비스업,3,2025,baseline,no_prior_positive_route,47204.93607899851,47204.93607899851,46989.54,215.3960789985067,215.3960789985067,215.3960789985067,215.3960789985067,0.4583915462856344,0.45839154628563444,
recursive_no_target_actual,대구,교육 서비스업,4,2021,baseline,no_prior_positive_route,44463.7091235161,44463.7091235161,44774.55,-310.84087648390414,-310.84087648390414,310.84087648390414,310.84087648390414,0.6942356237726658,0.6942356237726658,
recursive_no_target_actual,대구,교육 서비스업,4,2022,baseline,no_prior_positive_route,46569.105290004045,46569.105290004045,46314.15,254.9552900040435,254.9552900040435,254.9552900040435,254.9552900040435,0.5504911350074296,0.5504911350074296,
recursive_no_target_actual,대구,교육 서비스업,4,2023,baseline,no_prior_positive_route,46901.56959833313,46901.56959833313,46902.9,-1.330401666869875,-1.330401666869875,1.330401666869875,1.330401666869875,0.002836501936703,0.0028365019367030076,
recursive_no_target_actual,대구,교육 서비스업,4,2024,baseline,no_prior_positive_route,47424.76635384421,47424.76635384421,47101.24,323.52635384420864,323.52635384420864,323.52635384420864,323.52635384420864,0.6868743876895993,0.6868743876895993,
recursive_no_target_actual,대구,교육 서비스업,4,2025,baseline,no_prior_positive_route,47270.5628364812,47270.5628364812,46989.54,281.0228364811992,281.0228364811992,281.0228364811992,281.0228364811992,0.5980540275159093,0.5980540275159093,
recursive_no_target_actual,대구,금융 및 보험업,1,2021,baseline,no_prior_positive_route,42362.53252145161,42362.53252145161,39905.149999999994,2457.3825214516182,2457.3825214516182,2457.3825214516182,2457.3825214516182,6.158058600084497,6.158058600084497,
recursive_no_target_actual,대구,금융 및 보험업,1,2022,baseline,no_prior_positive_route,42038.25081537061,42038.25081537061,41970.58,67.67081537060585,67.67081537060585,67.67081537060585,67.67081537060585,0.1612339295063491,0.1612339295063491,
