quarter_region,province_full,table_id,table_name,year,city,activity_group,annual_gva_eok,latest_change_date
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,정보통신업,1001.4,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,건설업,3973.77,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,"공공 행정, 국방·사회보장",3073.46,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,"광업, 제조업",698.65,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,교육 서비스업,8051.8,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,금융 및 보험업,1948.04,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,도매 및 소매업,6275.79,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,문화 및 기타서비스업,2457.88,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,보건 및 사회복지업,7948.71,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,부동산업,12320.49,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,사업서비스업,7212.86,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,숙박 및 음식점업,3052.88,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,운수 및 창고업,1060.85,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동작구,정보통신업,4222.36,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,건설업,6327.41,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,"공공 행정, 국방·사회보장",2400.85,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,"광업, 제조업",3554.83,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,교육 서비스업,7576.18,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,금융 및 보험업,5987.81,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,도매 및 소매업,28890.53,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,문화 및 기타서비스업,8197.78,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,보건 및 사회복지업,5649.87,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,부동산업,16885.93,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,사업서비스업,36224.68,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,숙박 및 음식점업,7432.31,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,운수 및 창고업,10712.97,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,마포구,정보통신업,54586.37,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,건설업,4486.23,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,"공공 행정, 국방·사회보장",6688.61,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,"광업, 제조업",1067.23,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,교육 서비스업,12934.6,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,금융 및 보험업,9004.3,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,도매 및 소매업,6668.42,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,문화 및 기타서비스업,2420.66,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,보건 및 사회복지업,10675.72,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,서대문구,부동산업,10776.37,2025-10-29
