track,quarter_region,year,available_quarters,operating_label,predicted_cumulative_grdp_eok,official_cumulative_grdp_eok,cumulative_error_eok,cumulative_ape_pct,annualized_predicted_grdp_eok,official_annual_grdp_eok,annualized_error_eok,annualized_ape_pct,baseline_main_pred,selected_main_pred,adopted_main_rows,routed_annualized_predicted_grdp_eok,routed_annualized_error_eok,routed_annualized_ape_pct
recursive_no_target_actual,인천,2025,3,1~3분기+1개월,832043.0556247499,851900.6000000001,-19857.544375250232,2.3309696430839737,1123321.008987727,1150481.96,-27160.95101227262,2.360832412554528,1013297.3088902,1059085.0393248377,2.0,1169108.7394223649,18626.779422364896,1.619041416552494
recursive_no_target_actual,인천,2025,4,공표 후 정밀화,1124137.1632301928,1150481.96,-26344.796769807115,2.289892209157901,1124137.1632301928,1150481.96,-26344.796769807115,2.289892209157901,1014376.4368882597,1067274.782689786,2.0,1177035.509031719,26553.5490317191,2.3080369753663152
recursive_no_target_actual,울산,2021,1,1분기+1개월,167255.38915778932,170961.67,-3706.28084221069,2.1679016367883457,701262.3993791755,724102.15,-22839.75062082452,3.1542166558716223,25158.472514885445,25158.472514885445,0.0,701262.3993791755,-22839.750620824518,3.1542166558716223
recursive_no_target_actual,울산,2021,2,1~2분기+1개월,346307.24362177344,358208.65,-11901.406378226588,3.322478778283714,720407.2212675833,724102.15,-3694.928732416709,0.5102772768202261,25177.05508795693,25177.05508795693,0.0,720407.2212675833,-3694.928732416709,0.5102772768202261
recursive_no_target_actual,울산,2021,3,1~3분기+1개월,525157.5121611579,536888.13,-11730.617838842096,2.184927768628838,717542.2807845979,724102.15,-6559.86921540217,0.9059314649738536,25330.78943974545,24486.112295405535,1.0,716697.603640258,-7404.54635974206,1.0225831203155604
recursive_no_target_actual,울산,2021,4,공표 후 정밀화,713373.1209673621,724102.15,-10729.029032637947,1.481701032463161,713373.1209673621,724102.15,-10729.029032637947,1.481701032463161,25561.751893205463,24138.142502410832,1.0,711949.5115765674,-12152.638423432596,1.6783044247876622
recursive_no_target_actual,울산,2022,1,1분기+1개월,175432.53180455987,179630.83,-4198.298195440118,2.33718131539008,747071.5589550682,751517.22,-4445.661044931738,0.5915581076015448,405312.464020624,405312.464020624,0.0,747071.5589550682,-4445.661044931738,0.5915581076015448
recursive_no_target_actual,울산,2022,2,1~2분기+1개월,362052.49948259024,373391.68,-11339.180517409754,3.036805886357659,745102.6062262775,751517.22,-6414.613773722434,0.8535551286133449,404155.1635748924,404155.1635748924,0.0,745102.6062262775,-6414.613773722434,0.8535551286133449
recursive_no_target_actual,울산,2022,3,1~3분기+1개월,549860.8857607653,561352.76,-11491.87423923472,2.047175155820864,746792.9671360892,751517.22,-4724.252863910748,0.628628691157702,404520.5103460809,406584.9597018979,1.0,748857.4164919063,-2659.803508093697,0.35392449265416664
recursive_no_target_actual,울산,2022,4,공표 후 정밀화,740250.912647096,751517.22,-11266.307352903998,1.4991416102087451,740250.912647096,751517.22,-11266.307352903998,1.4991416102087451,398863.0568205148,402042.518761875,1.0,743430.3745884562,-8086.845411543734,1.0760692099036313
recursive_no_target_actual,울산,2023,1,1분기+1개월,175816.1514714936,184890.89,-9074.738528506425,4.908158821944349,741288.4623350883,789631.3200000001,-48342.857664911775,6.122206204398246,26917.572203391977,26917.572203391977,0.0,741288.4623350883,-48342.857664911775,6.122206204398246
recursive_no_target_actual,울산,2023,2,1~2분기+1개월,366432.6681859501,389202.25,-22769.58181404992,5.850321218351106,748587.4035304271,789631.3200000001,-41043.91646957293,5.19785821939952,26599.17089088258,26599.17089088258,0.0,748587.4035304271,-41043.91646957293,5.19785821939952
recursive_no_target_actual,울산,2023,3,1~3분기+1개월,559072.8407797083,585044.91,-25972.069220291683,4.4393291483027655,752673.1703878089,789631.3200000001,-36958.14961219113,4.6804310665122975,26583.11142200145,39219.24510183503,1.0,765309.3040676425,-24322.01593235752,3.0801736603301806
