track,route_id,activity,available_quarters,rows,baseline_abs_error_sum_eok,candidate_abs_error_sum_eok,official_sum_eok,improved_rows,baseline_wape_pct,candidate_wape_pct,delta_wape_pp,adopt_route
recursive_no_target_actual,regional_manufacturing_production_index,"광업, 제조업",3,14,180245.30078640854,477325.4018734963,3861314.0400000005,4,4.667978281984246,12.361734811745492,7.693756529761246,False
recursive_no_target_actual,regional_manufacturing_production_index,"광업, 제조업",4,14,194030.00607619772,573533.2132451485,3861314.0400000005,4,5.024973469295901,14.853316961630721,9.82834349233482,False
recursive_no_target_actual,regional_service_production_index_G,도매 및 소매업,1,21,34392.11613365526,30613.201226974583,801209.8499999999,12,4.292522880697893,3.8208718011859926,-0.47165107951190066,True
recursive_no_target_actual,regional_service_production_index_G,도매 및 소매업,2,21,28603.51742105668,22144.712532134145,801209.8499999999,11,3.5700406605156796,2.7639091721268962,-0.8061314883887833,True
recursive_no_target_actual,regional_service_production_index_G,도매 및 소매업,3,21,26354.04435838229,16642.737682484578,801209.8499999999,13,3.289281123838192,2.0772008335250223,-1.2120802903131698,True
recursive_no_target_actual,regional_service_production_index_G,도매 및 소매업,4,21,26514.82724647894,14690.47552192328,801209.8499999999,14,3.3093486365000313,1.8335365599815432,-1.4758120765184881,True
recursive_no_target_actual,regional_service_production_index_H,운수 및 창고업,1,24,134306.44318590037,102917.42516044885,1026507.16,8,13.083829165487785,10.025982201668116,-3.057846963819669,True
recursive_no_target_actual,regional_service_production_index_H,운수 및 창고업,2,24,135248.24194708018,69513.68528440385,1026507.16,10,13.175577065344598,6.771865603392757,-6.403711461951841,True
recursive_no_target_actual,regional_service_production_index_H,운수 및 창고업,3,24,136196.4376997794,54618.823470510666,1026507.16,10,13.26794814561054,5.320841938453762,-7.947106207156777,True
recursive_no_target_actual,regional_service_production_index_H,운수 및 창고업,4,24,138952.7488300503,52500.06132113614,1026507.16,10,13.536461726194904,5.114436933994317,-8.422024792200588,True
recursive_no_target_actual,regional_service_production_index_I,숙박 및 음식점업,1,19,23755.653389112143,21781.64209402942,261051.91,10,9.099973024182104,8.343797252442787,-0.7561757717393167,True
recursive_no_target_actual,regional_service_production_index_I,숙박 및 음식점업,2,19,12961.496013740318,11394.954891627818,261051.91,11,4.965102922916871,4.365014947267698,-0.6000879756491733,True
recursive_no_target_actual,regional_service_production_index_I,숙박 및 음식점업,3,19,8680.874578846762,8938.200527679792,261051.91,9,3.325344211749595,3.4239169242928704,0.09857271254327538,False
recursive_no_target_actual,regional_service_production_index_I,숙박 및 음식점업,4,19,7348.269082572757,4990.6724781323555,261051.91,13,2.8148689211171662,1.911754822300421,-0.9031140988167452,True
recursive_no_target_actual,regional_service_production_index_J,정보통신업,1,24,21884.69698484721,20393.81009574708,286187.54,8,7.646977567523454,7.12603004859928,-0.5209475189241735,True
recursive_no_target_actual,regional_service_production_index_J,정보통신업,2,24,19592.71025297722,14140.629592343419,286187.54,10,6.846108762448995,4.941036074576629,-1.9050726878723658,True
recursive_no_target_actual,regional_service_production_index_J,정보통신업,3,24,19152.670955776874,12388.76410705556,286187.54,14,6.692349693413234,4.32889709560925,-2.3634525978039838,True
recursive_no_target_actual,regional_service_production_index_J,정보통신업,4,24,19175.348683779368,9145.935226960099,286187.54,17,6.700273772848171,3.1957838649998878,-3.5044899078482836,True
recursive_no_target_actual,regional_service_production_index_K,금융 및 보험업,1,24,16778.649643424367,26301.037460702635,606726.34,12,2.7654394637662127,4.334909452044333,1.5694699882781205,False
recursive_no_target_actual,regional_service_production_index_K,금융 및 보험업,2,24,13437.936481693152,16963.631731554047,606726.34,11,2.214826618816838,2.795928017820035,0.581101399003197,False
recursive_no_target_actual,regional_service_production_index_K,금융 및 보험업,3,24,12007.761034114697,13272.726972918343,606726.34,13,1.979106599214845,2.1875969605866037,0.20849036137175858,False
recursive_no_target_actual,regional_service_production_index_K,금융 및 보험업,4,24,14341.458214554055,9811.74429132717,606726.34,16,2.363744124666494,1.6171614193191564,-0.7465827053473377,True
recursive_no_target_actual,regional_service_production_index_L,부동산업,1,22,26949.16233777294,101063.88542337506,1068251.5,6,2.522735735711388,9.46068275339422,6.937947017682832,False
recursive_no_target_actual,regional_service_production_index_L,부동산업,2,22,27095.697271636476,113597.93058279458,1068251.5,3,2.5364530048997334,10.634006185134734,8.097553180235,False
recursive_no_target_actual,regional_service_production_index_L,부동산업,3,22,27015.13412336752,109741.593213168,1068251.5,4,2.528911414902532,10.273010916733373,7.744099501830841,False
recursive_no_target_actual,regional_service_production_index_L,부동산업,4,22,27498.505898807147,107870.21428957308,1068251.5,3,2.574160288921396,10.097829424023564,7.523669135102168,False
recursive_no_target_actual,regional_service_production_index_M_N,사업서비스업,1,22,30793.385541768555,32798.07544649902,747989.9700000001,11,4.1168179757502035,4.384828241279627,0.26801026552942364,False
