track,activity,available_quarters,rows,adopted_rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
recursive_no_target_actual,교육 서비스업,2,23,0,786208.4600000002,9584.516144543853,9584.516144543853,7.277629649839783,1.219080769563819,1.219080769563819,0.0
recursive_no_target_actual,교육 서비스업,3,23,3,786208.4600000002,8401.279890140384,7866.081624159684,5.747904204983548,1.06858172069789,1.000508392412832,-0.06807332828505808
recursive_no_target_actual,교육 서비스업,4,23,2,786208.4600000002,8248.020141441248,9290.504241263041,6.821547333090922,1.0490881949351252,1.1816845930738318,0.1325963981387066
recursive_no_target_actual,금융 및 보험업,1,24,6,606726.34,16778.649643424367,20808.85311282045,14.156017104919218,2.7654394637662127,3.429693379196369,0.6642539154301561
recursive_no_target_actual,금융 및 보험업,2,24,7,606726.34,13437.936481693152,14073.388812918649,13.616138313099716,2.214826618816838,2.3195612066090043,0.10473458779216616
recursive_no_target_actual,금융 및 보험업,3,24,8,606726.34,12007.761034114697,16344.479708561295,13.100518513269813,1.979106599214845,2.6938800297612424,0.7147734305463973
recursive_no_target_actual,금융 및 보험업,4,24,15,606726.34,14341.458214554055,11629.5645118746,7.494514242060987,2.363744124666494,1.9167726444634992,-0.44697148020299493
recursive_no_target_actual,도매 및 소매업,1,21,9,801209.8499999999,34392.11613365526,33165.69641571936,11.346614694958554,4.292522880697893,4.139451907102661,-0.15307097359523247
recursive_no_target_actual,도매 및 소매업,2,21,5,801209.8499999999,28603.51742105668,27752.886221362725,10.483632701598786,3.5700406605156796,3.4638723202620048,-0.10616834025367483
recursive_no_target_actual,도매 및 소매업,3,21,6,801209.8499999999,26354.04435838229,18173.8001039296,6.734085947539987,3.289281123838192,2.2682946426494386,-1.0209864811887535
recursive_no_target_actual,도매 및 소매업,4,21,8,801209.8499999999,26514.82724647894,13992.321606372998,5.441710253610558,3.3093486365000313,1.7463990996082985,-1.5629495368917328
recursive_no_target_actual,문화 및 기타서비스업,1,25,1,461528.81999999995,20465.874894503853,20667.757295002753,11.055242819410903,4.434365527705043,4.4781076282522845,0.04374210054724159
recursive_no_target_actual,문화 및 기타서비스업,2,25,3,461528.81999999995,18072.479995359674,27591.27000864302,26.524381037057328,3.9157857997599534,5.978233387168113,2.0624475874081596
recursive_no_target_actual,문화 및 기타서비스업,3,25,4,461528.81999999995,17973.25356322481,39010.514074352875,51.59387172791904,3.8942862903393145,8.452454621220161,4.5581683308808465
recursive_no_target_actual,문화 및 기타서비스업,4,25,2,461528.81999999995,17300.973994763008,20968.177049355036,29.65180984844925,3.748622674259651,4.543199934806896,0.7945772605472454
recursive_no_target_actual,보건 및 사회복지업,1,24,5,911574.23,27006.240057351308,27099.242819110186,19.280371819375862,2.9625936285354744,2.9727960628187335,0.010202434283259176
recursive_no_target_actual,보건 및 사회복지업,2,24,8,911574.23,22355.5026233666,20407.505057842798,17.370167141078692,2.4524061659099994,2.238710176991598,-0.21369598891840136
recursive_no_target_actual,보건 및 사회복지업,3,24,7,911574.23,19461.603299124246,16800.97607924658,16.450185625742584,2.134944435531514,1.8430727335552892,-0.2918717019762247
recursive_no_target_actual,보건 및 사회복지업,4,24,8,911574.23,18477.903261589923,16806.30226109212,15.865935686726363,2.0270322101569196,1.8436570174973157,-0.1833751926596039
recursive_no_target_actual,부동산업,1,22,2,1068251.5,26949.16233777294,56655.47492169426,30.10246038870968,2.522735735711388,5.303570827814823,2.7808350921034344
recursive_no_target_actual,부동산업,2,22,0,1068251.5,27095.697271636476,27095.697271636476,7.952713283975885,2.5364530048997334,2.5364530048997334,0.0
recursive_no_target_actual,부동산업,3,22,1,1068251.5,27015.13412336752,28066.619999468974,10.353265029163811,2.528911414902532,2.6273419695145734,0.09843055461204164
recursive_no_target_actual,부동산업,4,22,1,1068251.5,27498.505898807147,28647.507783458124,11.433336259305783,2.574160288921396,2.6817194062875758,0.10755911736617962
recursive_no_target_actual,사업서비스업,1,22,10,747989.9700000001,30793.385541768555,31577.948471467105,20.439728951149604,4.1168179757502035,4.221707474428714,0.10488949867851094
recursive_no_target_actual,사업서비스업,2,22,11,747989.9700000001,28067.36694932524,24568.327264266445,17.85864595047189,3.7523721005677704,3.2845797737456883,-0.46779232682208205
recursive_no_target_actual,사업서비스업,3,22,8,747989.9700000001,26312.212848533753,26599.680206145364,18.01820880688812,3.517722683973122,3.556154664232378,0.03843198025925565
recursive_no_target_actual,사업서비스업,4,22,10,747989.9700000001,27065.28238588423,27478.678583221004,17.996791531845655,3.618401779623359,3.673669392013505,0.05526761239014588
recursive_no_target_actual,서비스업,1,21,10,7992596.220000001,288641.1670794348,203460.07952992572,7.19716150950794,3.611356799898929,2.5456068832903673,-1.0657499166085618
recursive_no_target_actual,서비스업,2,21,7,7992596.220000001,243107.76851970406,137765.36481840926,4.885975955369781,3.0416620811066575,1.7236622622531186,-1.317999818853539
recursive_no_target_actual,서비스업,3,21,7,7992596.220000001,226583.82444037695,125402.75281753797,4.59049883213911,2.8349214473438886,1.56898646404457,-1.2659349832993185
