track,activity,available_quarters,rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,adopted_rows,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
recursive_no_target_actual,건설업,2,22,899593.6799999999,118433.39712114182,57843.50534597321,12,19.939215443416398,13.165210000268324,6.4299590617369855,-6.735250938531339
recursive_no_target_actual,건설업,3,22,899593.6799999999,114995.66680785191,53444.82670089185,15,18.045917500614113,12.783067440830834,5.940996239645865,-6.842071201184969
recursive_no_target_actual,건설업,4,22,899593.6799999999,111446.84227278245,46135.92079724064,15,15.584596533511114,12.388575503640983,5.128528781709609,-7.260046721931373
recursive_no_target_actual,"광업, 제조업",1,14,3861314.0400000005,182334.4671408356,65679.90558465016,5,5.973325175694454,4.72208334396017,1.700972904670819,-3.021110439289351
recursive_no_target_actual,"광업, 제조업",2,14,3861314.0400000005,177194.50983492905,97136.86915743677,5,11.518828465111758,4.588969143647509,2.515642813590908,-2.0733263300566005
recursive_no_target_actual,"광업, 제조업",3,14,3861314.0400000005,180245.30078640854,101542.4540963,4,12.324149561300784,4.667978281984246,2.629738297491597,-2.0382399844926495
recursive_no_target_actual,"광업, 제조업",4,14,3861314.0400000005,194030.00607619772,117247.02006306512,4,12.272357461721976,5.024973469295901,3.0364538819812,-1.988519587314701
recursive_no_target_actual,교육 서비스업,1,23,786208.4600000002,11391.055169699377,9040.006301375255,6,2.9428849047308745,1.4488593991597818,1.1498230763600856,-0.29903632279969616
recursive_no_target_actual,교육 서비스업,2,23,786208.4600000002,9584.516144543853,6947.503952098288,6,2.4939108296045123,1.219080769563819,0.8836719910261824,-0.3354087785376366
recursive_no_target_actual,교육 서비스업,3,23,786208.4600000002,8401.279890140384,5745.953836036913,6,2.86580534150281,1.06858172069789,0.730843552107912,-0.33773816858997807
recursive_no_target_actual,교육 서비스업,4,23,786208.4600000002,8248.020141441248,5538.596860780255,6,1.864176715519915,1.0490881949351252,0.7044692524397733,-0.34461894249535185
recursive_no_target_actual,금융 및 보험업,1,24,606726.34,16778.649643424367,12618.015481812758,12,6.158058600084497,2.7654394637662127,2.079688098231034,-0.6857513655351788
